mtknr;abschl;stg;pversion;psem;pnr;pltxt1
06892903cec30af88a171f3e4531a53e;84;IM;222;20242;622222060;Bau- und Immobilienwirtschaft
c1333d09b1625a2d25f6f22fd8973632;84;IM;222;20242;622222060;Bau- und Immobilienwirtschaft
17d7e8638d155403f530014ebf338704;84;IM;222;20242;622222060;Bau- und Immobilienwirtschaft
aefbba9881ea8da21e58a8d7aba38529;84;IM;222;20242;622222060;Bau- und Immobilienwirtschaft
b2d48f2648e9cdcbb95270628171daac;84;IM;222;20242;622222060;Bau- und Immobilienwirtschaft
b607dc703bf2b5e39b7ed73e855b1840;84;IM;222;20242;622222060;Bau- und Immobilienwirtschaft
adc0a01daa20af154b13f8ee1e335794;84;IM;222;20242;622222060;Bau- und Immobilienwirtschaft
4f32dad23a5dfbcc4153098626653b61;84;IM;222;20242;622222060;Bau- und Immobilienwirtschaft
c03a13c0618e3b3d0116292c8e74619c;84;IM;222;20242;622222060;Bau- und Immobilienwirtschaft
5433894dbe066c2df6dba17ac716743a;84;IM;222;20242;622222060;Bau- und Immobilienwirtschaft
5f3604380d46641f0c88cc6cd9cc127c;84;IM;222;20242;622223010;Nachhaltigkeit, Umwelt, Verantwortung
4fc01ec911031d639fc284f5f0d7a28a;84;IM;222;20242;622223010;Nachhaltigkeit, Umwelt, Verantwortung
6d12a3d6f9a01aa2a74a5d4fe5cf9664;84;IM;222;20242;622223010;Nachhaltigkeit, Umwelt, Verantwortung
af14672f5adccc20f99addfbbb713e14;84;IM;222;20242;622223010;Nachhaltigkeit, Umwelt, Verantwortung
ea5b9c649f9d9161c496b75f8754bcab;84;IM;222;20242;622223010;Nachhaltigkeit, Umwelt, Verantwortung
cbd04dc91dfcd23978069e8afc29fca3;84;IM;222;20242;622223010;Nachhaltigkeit, Umwelt, Verantwortung
1bdab4b8fca232685f21ace814d885dc;84;IM;222;20242;622223010;Nachhaltigkeit, Umwelt, Verantwortung
81517f35787bfb578f09f3524a43cfc5;84;IM;222;20242;622223010;Nachhaltigkeit, Umwelt, Verantwortung
ca1e0d5fadd6b90f1bae378936aed07a;84;IM;222;20242;622223010;Nachhaltigkeit, Umwelt, Verantwortung
7f0023657b83d005910b32f3761ae19d;84;IM;222;20242;622223010;Nachhaltigkeit, Umwelt, Verantwortung
6e17d2527caa8a2da03c698d8f2fd91c;84;IM;222;20242;622223010;Nachhaltigkeit, Umwelt, Verantwortung
