Fach 1;Lfd. Nr.;Fach 1;Fach 2;Datum / Uhrzeit;Kollisionen;Abstand
IM-222-622222010-Mathematik 2;;;;27 8:30-10:30;;;
;1;IM-222-622222010-Mathematik 2;IM-222-622221010-Mathematik 1;04 8:30-10:30;2;190
;2;IM-222-622222010-Mathematik 2;IM-222-622221020-Einführung in die Informatik;03 8:30-9:30;1;166
;3;IM-222-622222010-Mathematik 2;IM-222-622221040-Physik für Ingenieure;07 11:30-13:00;4;265
;4;IM-222-622222010-Mathematik 2;IM-222-622221050-Wirtschaftslehre 1;05 14:00-16:00;4;219
;5;IM-222-622222010-Mathematik 2;IM-222-622221060-Baustoffe u. Geotechnik 1;29 8:30-10:30;2;046
;6;IM-222-622222010-Mathematik 2;IM-222-622222020-Baustoffe u. Geotechnik 2;30 8:30-10:00;29;070
;7;IM-222-622222010-Mathematik 2;IM-222-622222030-Verkehrsinfrastruktur 1;25 10:00-12:45;19;043
;8;IM-222-622222010-Mathematik 2;IM-222-622222040-Energie 1;06 11:00-13:00;21;240
;9;IM-222-622222010-Mathematik 2;IM-222-622222050-Projektmanagement und -entwicklung 1;28 17:00-18:30;22;030
;10;IM-222-622222010-Mathematik 2;IM-222-622222060-Bau- und Immobilienwirtschaft;31 11:30-12:30;19;097
;11;IM-222-622222010-Mathematik 2;IM-222-622223010-Nachhaltigkeit, Umwelt, Verantwortung;05 8:30-9:30;9;214
;12;IM-222-622222010-Mathematik 2;IM-222-622223020-Energie 2 - Netzgebundene Energien;03 11:00-13:00;10;168
;13;IM-222-622222010-Mathematik 2;IM-222-622223030-Informations- und Kommunikationstechnik;Kein Datum gef;10;
;14;IM-222-622222010-Mathematik 2;IM-222-622223040-Recht 1;28 14:00-15:30;8;027
;15;IM-222-622222010-Mathematik 2;IM-222-622223050-Wasserfachliche Grundlagen;29 11:30-12:30;9;049
;16;IM-222-622222010-Mathematik 2;IM-222-622223060-Verkehrsinfrastruktur 2;31 14:00-16:00;9;099
;17;IM-222-622222010-Mathematik 2;IM-222-622223070-Projektmanagement und -entwicklung 2;01 9:00-11:00;7;118
;18;IM-222-622222010-Mathematik 2;IM-222-622223080-Wirtschaftslehre 2;25 14:00-15:00;10;041
;19;IM-222-622222010-Mathematik 2;IM-222-622223092-Wirtschaftsenglisch;Kein Datum gef;9;
;20;IM-222-622222010-Mathematik 2;IM-222-622224010-Arbeitsschutz;06 8:30-9:30;10;238
;21;IM-222-622222010-Mathematik 2;IM-222-622225020-Projektmanagement und -entwicklung 3;06 14:00-15:30;2;243
;22;IM-222-622222010-Mathematik 2;IM-222-622225040-Wirtschaftslehre 3;30 11:00-12:00;3;072
IM-222-622222020-Baustoffe u. Geotechnik 2;;;;30 8:30-10:00;;;
;1;IM-222-622222020-Baustoffe u. Geotechnik 2;IM-222-622221010-Mathematik 1;04 8:30-10:30;10;118
;2;IM-222-622222020-Baustoffe u. Geotechnik 2;IM-222-622221020-Einführung in die Informatik;03 8:30-9:30;3;094
;3;IM-222-622222020-Baustoffe u. Geotechnik 2;IM-222-622221040-Physik für Ingenieure;07 11:30-13:00;11;193
;4;IM-222-622222020-Baustoffe u. Geotechnik 2;IM-222-622221050-Wirtschaftslehre 1;05 14:00-16:00;6;148
;5;IM-222-622222020-Baustoffe u. Geotechnik 2;IM-222-622221060-Baustoffe u. Geotechnik 1;29 8:30-10:30;6;022
;6;IM-222-622222020-Baustoffe u. Geotechnik 2;IM-222-622222010-Mathematik 2;27 8:30-10:30;29;070
;7;IM-222-622222020-Baustoffe u. Geotechnik 2;IM-222-622222030-Verkehrsinfrastruktur 1;25 10:00-12:45;27;115
;8;IM-222-622222020-Baustoffe u. Geotechnik 2;IM-222-622222040-Energie 1;06 11:00-13:00;29;169
;9;IM-222-622222020-Baustoffe u. Geotechnik 2;IM-222-622222050-Projektmanagement und -entwicklung 1;28 17:00-18:30;32;038
;10;IM-222-622222020-Baustoffe u. Geotechnik 2;IM-222-622222060-Bau- und Immobilienwirtschaft;31 11:30-12:30;29;025
;11;IM-222-622222020-Baustoffe u. Geotechnik 2;IM-222-622223010-Nachhaltigkeit, Umwelt, Verantwortung;05 8:30-9:30;5;142
;12;IM-222-622222020-Baustoffe u. Geotechnik 2;IM-222-622223020-Energie 2 - Netzgebundene Energien;03 11:00-13:00;4;097
;13;IM-222-622222020-Baustoffe u. Geotechnik 2;IM-222-622223030-Informations- und Kommunikationstechnik;Kein Datum gef;5;
;14;IM-222-622222020-Baustoffe u. Geotechnik 2;IM-222-622223040-Recht 1;28 14:00-15:30;4;041
;15;IM-222-622222020-Baustoffe u. Geotechnik 2;IM-222-622223050-Wasserfachliche Grundlagen;29 11:30-12:30;4;020
;16;IM-222-622222020-Baustoffe u. Geotechnik 2;IM-222-622223060-Verkehrsinfrastruktur 2;31 14:00-16:00;4;028
;17;IM-222-622222020-Baustoffe u. Geotechnik 2;IM-222-622223070-Projektmanagement und -entwicklung 2;01 9:00-11:00;4;047
;18;IM-222-622222020-Baustoffe u. Geotechnik 2;IM-222-622223080-Wirtschaftslehre 2;25 14:00-15:00;5;113
;19;IM-222-622222020-Baustoffe u. Geotechnik 2;IM-222-622223092-Wirtschaftsenglisch;Kein Datum gef;5;
;20;IM-222-622222020-Baustoffe u. Geotechnik 2;IM-222-622224010-Arbeitsschutz;06 8:30-9:30;5;166
IM-222-622222030-Verkehrsinfrastruktur 1;;;;25 10:00-12:45;;;
;1;IM-222-622222030-Verkehrsinfrastruktur 1;IM-222-622221010-Mathematik 1;04 8:30-10:30;7;235
;2;IM-222-622222030-Verkehrsinfrastruktur 1;IM-222-622221020-Einführung in die Informatik;03 8:30-9:30;1;211
;3;IM-222-622222030-Verkehrsinfrastruktur 1;IM-222-622221040-Physik für Ingenieure;07 11:30-13:00;7;310
;4;IM-222-622222030-Verkehrsinfrastruktur 1;IM-222-622221050-Wirtschaftslehre 1;05 14:00-16:00;5;265
;5;IM-222-622222030-Verkehrsinfrastruktur 1;IM-222-622221060-Baustoffe u. Geotechnik 1;29 8:30-10:30;5;091
;6;IM-222-622222030-Verkehrsinfrastruktur 1;IM-222-622222010-Mathematik 2;27 8:30-10:30;19;043
;7;IM-222-622222030-Verkehrsinfrastruktur 1;IM-222-622222020-Baustoffe u. Geotechnik 2;30 8:30-10:00;27;115
;8;IM-222-622222030-Verkehrsinfrastruktur 1;IM-222-622222040-Energie 1;06 11:00-13:00;28;286
;9;IM-222-622222030-Verkehrsinfrastruktur 1;IM-222-622222050-Projektmanagement und -entwicklung 1;28 17:00-18:30;28;076
;10;IM-222-622222030-Verkehrsinfrastruktur 1;IM-222-622222060-Bau- und Immobilienwirtschaft;31 11:30-12:30;27;142
IM-222-622222040-Energie 1;;;;06 11:00-13:00;;;
;1;IM-222-622222040-Energie 1;IM-222-622221010-Mathematik 1;04 8:30-10:30;9;048
;2;IM-222-622222040-Energie 1;IM-222-622221020-Einführung in die Informatik;03 8:30-9:30;2;073
;3;IM-222-622222040-Energie 1;IM-222-622221040-Physik für Ingenieure;07 11:30-13:00;10;022
;4;IM-222-622222040-Energie 1;IM-222-622221050-Wirtschaftslehre 1;05 14:00-16:00;6;019
;5;IM-222-622222040-Energie 1;IM-222-622221060-Baustoffe u. Geotechnik 1;29 8:30-10:30;6;192
;6;IM-222-622222040-Energie 1;IM-222-622222010-Mathematik 2;27 8:30-10:30;21;240
;7;IM-222-622222040-Energie 1;IM-222-622222020-Baustoffe u. Geotechnik 2;30 8:30-10:00;29;169
;8;IM-222-622222040-Energie 1;IM-222-622222030-Verkehrsinfrastruktur 1;25 10:00-12:45;28;286
;9;IM-222-622222040-Energie 1;IM-222-622222050-Projektmanagement und -entwicklung 1;28 17:00-18:30;33;208
;10;IM-222-622222040-Energie 1;IM-222-622222060-Bau- und Immobilienwirtschaft;31 11:30-12:30;31;142
IM-222-622222050-Projektmanagement und -entwicklung 1;;;;28 17:00-18:30;;;
;1;IM-222-622222050-Projektmanagement und -entwicklung 1;IM-222-622221010-Mathematik 1;04 8:30-10:30;11;158
;2;IM-222-622222050-Projektmanagement und -entwicklung 1;IM-222-622221020-Einführung in die Informatik;03 8:30-9:30;3;134
;3;IM-222-622222050-Projektmanagement und -entwicklung 1;IM-222-622221040-Physik für Ingenieure;07 11:30-13:00;13;233
;4;IM-222-622222050-Projektmanagement und -entwicklung 1;IM-222-622221050-Wirtschaftslehre 1;05 14:00-16:00;11;187
;5;IM-222-622222050-Projektmanagement und -entwicklung 1;IM-222-622221060-Baustoffe u. Geotechnik 1;29 8:30-10:30;9;014
;6;IM-222-622222050-Projektmanagement und -entwicklung 1;IM-222-622222010-Mathematik 2;27 8:30-10:30;22;030
;7;IM-222-622222050-Projektmanagement und -entwicklung 1;IM-222-622222020-Baustoffe u. Geotechnik 2;30 8:30-10:00;32;038
;8;IM-222-622222050-Projektmanagement und -entwicklung 1;IM-222-622222030-Verkehrsinfrastruktur 1;25 10:00-12:45;28;076
;9;IM-222-622222050-Projektmanagement und -entwicklung 1;IM-222-622222040-Energie 1;06 11:00-13:00;33;208
;10;IM-222-622222050-Projektmanagement und -entwicklung 1;IM-222-622222060-Bau- und Immobilienwirtschaft;31 11:30-12:30;32;065
;11;IM-222-622222050-Projektmanagement und -entwicklung 1;IM-222-622223010-Nachhaltigkeit, Umwelt, Verantwortung;05 8:30-9:30;2;182
;12;IM-222-622222050-Projektmanagement und -entwicklung 1;IM-222-622223030-Informations- und Kommunikationstechnik;Kein Datum gef;2;
;13;IM-222-622222050-Projektmanagement und -entwicklung 1;IM-222-622223040-Recht 1;28 14:00-15:30;2;001
;14;IM-222-622222050-Projektmanagement und -entwicklung 1;IM-222-622223050-Wasserfachliche Grundlagen;29 11:30-12:30;1;017
;15;IM-222-622222050-Projektmanagement und -entwicklung 1;IM-222-622223060-Verkehrsinfrastruktur 2;31 14:00-16:00;1;067
;16;IM-222-622222050-Projektmanagement und -entwicklung 1;IM-222-622223070-Projektmanagement und -entwicklung 2;01 9:00-11:00;1;086
;17;IM-222-622222050-Projektmanagement und -entwicklung 1;IM-222-622223080-Wirtschaftslehre 2;25 14:00-15:00;2;074
;18;IM-222-622222050-Projektmanagement und -entwicklung 1;IM-222-622223092-Wirtschaftsenglisch;Kein Datum gef;1;
;19;IM-222-622222050-Projektmanagement und -entwicklung 1;IM-222-622224010-Arbeitsschutz;06 8:30-9:30;2;206
IM-222-622222060-Bau- und Immobilienwirtschaft;;;;31 11:30-12:30;;;
;1;IM-222-622222060-Bau- und Immobilienwirtschaft;IM-222-622221010-Mathematik 1;04 8:30-10:30;8;092
;2;IM-222-622222060-Bau- und Immobilienwirtschaft;IM-222-622221020-Einführung in die Informatik;03 8:30-9:30;6;068
;3;IM-222-622222060-Bau- und Immobilienwirtschaft;IM-222-622221040-Physik für Ingenieure;07 11:30-13:00;13;167
;4;IM-222-622222060-Bau- und Immobilienwirtschaft;IM-222-622221050-Wirtschaftslehre 1;05 14:00-16:00;9;121
;5;IM-222-622222060-Bau- und Immobilienwirtschaft;IM-222-622221060-Baustoffe u. Geotechnik 1;29 8:30-10:30;10;049
;6;IM-222-622222060-Bau- und Immobilienwirtschaft;IM-222-622222010-Mathematik 2;27 8:30-10:30;19;097
;7;IM-222-622222060-Bau- und Immobilienwirtschaft;IM-222-622222020-Baustoffe u. Geotechnik 2;30 8:30-10:00;29;025
;8;IM-222-622222060-Bau- und Immobilienwirtschaft;IM-222-622222030-Verkehrsinfrastruktur 1;25 10:00-12:45;27;142
;9;IM-222-622222060-Bau- und Immobilienwirtschaft;IM-222-622222040-Energie 1;06 11:00-13:00;31;142
;10;IM-222-622222060-Bau- und Immobilienwirtschaft;IM-222-622222050-Projektmanagement und -entwicklung 1;28 17:00-18:30;32;065
IM-222-622223010-Nachhaltigkeit, Umwelt, Verantwortung;;;;05 8:30-9:30;;;
;1;IM-222-622223010-Nachhaltigkeit, Umwelt, Verantwortung;IM-222-18100-Brandschutz Projektmanagement;28 11:30-12:30;1;188
;2;IM-222-622223010-Nachhaltigkeit, Umwelt, Verantwortung;IM-222-19100-Bahntechnik;31 14:00-15:00;1;113
;3;IM-222-622223010-Nachhaltigkeit, Umwelt, Verantwortung;IM-222-622221040-Physik für Ingenieure;07 11:30-13:00;2;050
;4;IM-222-622223010-Nachhaltigkeit, Umwelt, Verantwortung;IM-222-622221050-Wirtschaftslehre 1;05 14:00-16:00;3;004
;5;IM-222-622223010-Nachhaltigkeit, Umwelt, Verantwortung;IM-222-622222010-Mathematik 2;27 8:30-10:30;9;214
;6;IM-222-622223010-Nachhaltigkeit, Umwelt, Verantwortung;IM-222-622222020-Baustoffe u. Geotechnik 2;30 8:30-10:00;5;142
;7;IM-222-622223010-Nachhaltigkeit, Umwelt, Verantwortung;IM-222-622222050-Projektmanagement und -entwicklung 1;28 17:00-18:30;2;182
;8;IM-222-622223010-Nachhaltigkeit, Umwelt, Verantwortung;IM-222-622223020-Energie 2 - Netzgebundene Energien;03 11:00-13:00;17;043
;9;IM-222-622223010-Nachhaltigkeit, Umwelt, Verantwortung;IM-222-622223030-Informations- und Kommunikationstechnik;Kein Datum gef;20;
;10;IM-222-622223010-Nachhaltigkeit, Umwelt, Verantwortung;IM-222-622223040-Recht 1;28 14:00-15:30;19;185
;11;IM-222-622223010-Nachhaltigkeit, Umwelt, Verantwortung;IM-222-622223050-Wasserfachliche Grundlagen;29 11:30-12:30;18;164
;12;IM-222-622223010-Nachhaltigkeit, Umwelt, Verantwortung;IM-222-622223060-Verkehrsinfrastruktur 2;31 14:00-16:00;18;112
;13;IM-222-622223010-Nachhaltigkeit, Umwelt, Verantwortung;IM-222-622223070-Projektmanagement und -entwicklung 2;01 9:00-11:00;16;093
;14;IM-222-622223010-Nachhaltigkeit, Umwelt, Verantwortung;IM-222-622223080-Wirtschaftslehre 2;25 14:00-15:00;20;257
;15;IM-222-622223010-Nachhaltigkeit, Umwelt, Verantwortung;IM-222-622223092-Wirtschaftsenglisch;Kein Datum gef;19;
;16;IM-222-622223010-Nachhaltigkeit, Umwelt, Verantwortung;IM-222-622224010-Arbeitsschutz;06 8:30-9:30;20;023
;17;IM-222-622223010-Nachhaltigkeit, Umwelt, Verantwortung;IM-222-622225040-Wirtschaftslehre 3;30 11:00-12:00;1;140
;18;IM-222-622223010-Nachhaltigkeit, Umwelt, Verantwortung;IM-222-622227010-Wirtschaftslehre 5;Kein Datum gef;1;
;19;IM-222-622223010-Nachhaltigkeit, Umwelt, Verantwortung;IM-222-622227020-Recht 2;05 11:30-13:00;1;002
;20;IM-222-622223010-Nachhaltigkeit, Umwelt, Verantwortung;IM-222-622227050-Abfallwirtschaft;29 17:00-18:00;1;158
IM-222-622223020-Energie 2 - Netzgebundene Energien;;;;03 11:00-13:00;;;
;1;IM-222-622223020-Energie 2 - Netzgebundene Energien;IM-222-622221040-Physik für Ingenieure;07 11:30-13:00;1;094
;2;IM-222-622223020-Energie 2 - Netzgebundene Energien;IM-222-622221050-Wirtschaftslehre 1;05 14:00-16:00;1;049
;3;IM-222-622223020-Energie 2 - Netzgebundene Energien;IM-222-622222010-Mathematik 2;27 8:30-10:30;10;168
;4;IM-222-622223020-Energie 2 - Netzgebundene Energien;IM-222-622222020-Baustoffe u. Geotechnik 2;30 8:30-10:00;4;097
;5;IM-222-622223020-Energie 2 - Netzgebundene Energien;IM-222-622223010-Nachhaltigkeit, Umwelt, Verantwortung;05 8:30-9:30;17;043
;6;IM-222-622223020-Energie 2 - Netzgebundene Energien;IM-222-622223030-Informations- und Kommunikationstechnik;Kein Datum gef;19;
;7;IM-222-622223020-Energie 2 - Netzgebundene Energien;IM-222-622223040-Recht 1;28 14:00-15:30;18;139
;8;IM-222-622223020-Energie 2 - Netzgebundene Energien;IM-222-622223050-Wasserfachliche Grundlagen;29 11:30-12:30;19;118
;9;IM-222-622223020-Energie 2 - Netzgebundene Energien;IM-222-622223060-Verkehrsinfrastruktur 2;31 14:00-16:00;20;067
;10;IM-222-622223020-Energie 2 - Netzgebundene Energien;IM-222-622223070-Projektmanagement und -entwicklung 2;01 9:00-11:00;19;048
;11;IM-222-622223020-Energie 2 - Netzgebundene Energien;IM-222-622223080-Wirtschaftslehre 2;25 14:00-15:00;20;212
;12;IM-222-622223020-Energie 2 - Netzgebundene Energien;IM-222-622223092-Wirtschaftsenglisch;Kein Datum gef;18;
;13;IM-222-622223020-Energie 2 - Netzgebundene Energien;IM-222-622224010-Arbeitsschutz;06 8:30-9:30;19;067
;14;IM-222-622223020-Energie 2 - Netzgebundene Energien;IM-222-622225010-Energie 3;31 11:00-12:30;3;070
;15;IM-222-622223020-Energie 2 - Netzgebundene Energien;IM-222-622225020-Projektmanagement und -entwicklung 3;06 14:00-15:30;7;073
;16;IM-222-622223020-Energie 2 - Netzgebundene Energien;IM-222-622225030-Siedlungswasserwirtschaft;27 14:00-17:00;3;162
;17;IM-222-622223020-Energie 2 - Netzgebundene Energien;IM-222-622225040-Wirtschaftslehre 3;30 11:00-12:00;7;095
IM-222-622223030-Informations- und Kommunikationstechnik;;;;Kein Datum gef;;
;1;IM-222-622223030-Informations- und Kommunikationstechnik;IM-222-622221040-Physik für Ingenieure;07 11:30-13:00;2;
;2;IM-222-622223030-Informations- und Kommunikationstechnik;IM-222-622221050-Wirtschaftslehre 1;05 14:00-16:00;3;
;3;IM-222-622223030-Informations- und Kommunikationstechnik;IM-222-622222010-Mathematik 2;27 8:30-10:30;10;
;4;IM-222-622223030-Informations- und Kommunikationstechnik;IM-222-622222020-Baustoffe u. Geotechnik 2;30 8:30-10:00;5;
;5;IM-222-622223030-Informations- und Kommunikationstechnik;IM-222-622222050-Projektmanagement und -entwicklung 1;28 17:00-18:30;2;
;6;IM-222-622223030-Informations- und Kommunikationstechnik;IM-222-622223010-Nachhaltigkeit, Umwelt, Verantwortung;05 8:30-9:30;20;
;7;IM-222-622223030-Informations- und Kommunikationstechnik;IM-222-622223020-Energie 2 - Netzgebundene Energien;03 11:00-13:00;19;
;8;IM-222-622223030-Informations- und Kommunikationstechnik;IM-222-622223040-Recht 1;28 14:00-15:30;20;
;9;IM-222-622223030-Informations- und Kommunikationstechnik;IM-222-622223050-Wasserfachliche Grundlagen;29 11:30-12:30;20;
;10;IM-222-622223030-Informations- und Kommunikationstechnik;IM-222-622223060-Verkehrsinfrastruktur 2;31 14:00-16:00;20;
;11;IM-222-622223030-Informations- und Kommunikationstechnik;IM-222-622223070-Projektmanagement und -entwicklung 2;01 9:00-11:00;18;
;12;IM-222-622223030-Informations- und Kommunikationstechnik;IM-222-622223080-Wirtschaftslehre 2;25 14:00-15:00;22;
;13;IM-222-622223030-Informations- und Kommunikationstechnik;IM-222-622223092-Wirtschaftsenglisch;Kein Datum gef;20;
;14;IM-222-622223030-Informations- und Kommunikationstechnik;IM-222-622224010-Arbeitsschutz;06 8:30-9:30;21;
;15;IM-222-622223030-Informations- und Kommunikationstechnik;IM-222-622225020-Projektmanagement und -entwicklung 3;06 14:00-15:30;2;
;16;IM-222-622223030-Informations- und Kommunikationstechnik;IM-222-622225040-Wirtschaftslehre 3;30 11:00-12:00;2;
IM-222-622223040-Recht 1;;;;28 14:00-15:30;;;
;1;IM-222-622223040-Recht 1;IM-222-622221040-Physik für Ingenieure;07 11:30-13:00;1;236
;2;IM-222-622223040-Recht 1;IM-222-622221050-Wirtschaftslehre 1;05 14:00-16:00;3;190
;3;IM-222-622223040-Recht 1;IM-222-622222010-Mathematik 2;27 8:30-10:30;8;027
;4;IM-222-622223040-Recht 1;IM-222-622222020-Baustoffe u. Geotechnik 2;30 8:30-10:00;4;041
;5;IM-222-622223040-Recht 1;IM-222-622222050-Projektmanagement und -entwicklung 1;28 17:00-18:30;2;001
;6;IM-222-622223040-Recht 1;IM-222-622223010-Nachhaltigkeit, Umwelt, Verantwortung;05 8:30-9:30;19;185
;7;IM-222-622223040-Recht 1;IM-222-622223020-Energie 2 - Netzgebundene Energien;03 11:00-13:00;18;139
;8;IM-222-622223040-Recht 1;IM-222-622223030-Informations- und Kommunikationstechnik;Kein Datum gef;20;
;9;IM-222-622223040-Recht 1;IM-222-622223050-Wasserfachliche Grundlagen;29 11:30-12:30;19;020
;10;IM-222-622223040-Recht 1;IM-222-622223060-Verkehrsinfrastruktur 2;31 14:00-16:00;19;070
;11;IM-222-622223040-Recht 1;IM-222-622223070-Projektmanagement und -entwicklung 2;01 9:00-11:00;17;089
;12;IM-222-622223040-Recht 1;IM-222-622223080-Wirtschaftslehre 2;25 14:00-15:00;20;071
;13;IM-222-622223040-Recht 1;IM-222-622223092-Wirtschaftsenglisch;Kein Datum gef;19;
;14;IM-222-622223040-Recht 1;IM-222-622224010-Arbeitsschutz;06 8:30-9:30;20;209
;15;IM-222-622223040-Recht 1;IM-222-622225040-Wirtschaftslehre 3;30 11:00-12:00;1;043
IM-222-622223050-Wasserfachliche Grundlagen;;;;29 11:30-12:30;;;
;1;IM-222-622223050-Wasserfachliche Grundlagen;IM-222-18100-Brandschutz Projektmanagement;28 11:30-12:30;1;023
;2;IM-222-622223050-Wasserfachliche Grundlagen;IM-222-19140-Innovative Verfahren im Straßenbau;25 14:00-15:00;1;092
;3;IM-222-622223050-Wasserfachliche Grundlagen;IM-222-622221040-Physik für Ingenieure;07 11:30-13:00;1;215
;4;IM-222-622223050-Wasserfachliche Grundlagen;IM-222-622221050-Wirtschaftslehre 1;05 14:00-16:00;2;169
;5;IM-222-622223050-Wasserfachliche Grundlagen;IM-222-622222010-Mathematik 2;27 8:30-10:30;9;049
;6;IM-222-622223050-Wasserfachliche Grundlagen;IM-222-622222020-Baustoffe u. Geotechnik 2;30 8:30-10:00;4;020
;7;IM-222-622223050-Wasserfachliche Grundlagen;IM-222-622222050-Projektmanagement und -entwicklung 1;28 17:00-18:30;1;017
;8;IM-222-622223050-Wasserfachliche Grundlagen;IM-222-622223010-Nachhaltigkeit, Umwelt, Verantwortung;05 8:30-9:30;18;164
;9;IM-222-622223050-Wasserfachliche Grundlagen;IM-222-622223020-Energie 2 - Netzgebundene Energien;03 11:00-13:00;19;118
;10;IM-222-622223050-Wasserfachliche Grundlagen;IM-222-622223030-Informations- und Kommunikationstechnik;Kein Datum gef;20;
;11;IM-222-622223050-Wasserfachliche Grundlagen;IM-222-622223040-Recht 1;28 14:00-15:30;19;020
;12;IM-222-622223050-Wasserfachliche Grundlagen;IM-222-622223060-Verkehrsinfrastruktur 2;31 14:00-16:00;19;049
;13;IM-222-622223050-Wasserfachliche Grundlagen;IM-222-622223070-Projektmanagement und -entwicklung 2;01 9:00-11:00;18;068
;14;IM-222-622223050-Wasserfachliche Grundlagen;IM-222-622223080-Wirtschaftslehre 2;25 14:00-15:00;20;092
;15;IM-222-622223050-Wasserfachliche Grundlagen;IM-222-622223092-Wirtschaftsenglisch;Kein Datum gef;18;
;16;IM-222-622223050-Wasserfachliche Grundlagen;IM-222-622224010-Arbeitsschutz;06 8:30-9:30;19;188
;17;IM-222-622223050-Wasserfachliche Grundlagen;IM-222-622225010-Energie 3;31 11:00-12:30;2;046
;18;IM-222-622223050-Wasserfachliche Grundlagen;IM-222-622225020-Projektmanagement und -entwicklung 3;06 14:00-15:30;3;193
;19;IM-222-622223050-Wasserfachliche Grundlagen;IM-222-622225030-Siedlungswasserwirtschaft;27 14:00-17:00;2;042
;20;IM-222-622223050-Wasserfachliche Grundlagen;IM-222-622225040-Wirtschaftslehre 3;30 11:00-12:00;4;022
;21;IM-222-622223050-Wasserfachliche Grundlagen;IM-222-622227010-Wirtschaftslehre 5;Kein Datum gef;1;
;22;IM-222-622223050-Wasserfachliche Grundlagen;IM-222-622227020-Recht 2;05 11:30-13:00;1;167
;23;IM-222-622223050-Wasserfachliche Grundlagen;IM-222-622227050-Abfallwirtschaft;29 17:00-18:00;1;004
IM-222-622223060-Verkehrsinfrastruktur 2;;;;31 14:00-16:00;;;
;1;IM-222-622223060-Verkehrsinfrastruktur 2;IM-222-622221040-Physik für Ingenieure;07 11:30-13:00;1;163
;2;IM-222-622223060-Verkehrsinfrastruktur 2;IM-222-622221050-Wirtschaftslehre 1;05 14:00-16:00;2;118
;3;IM-222-622223060-Verkehrsinfrastruktur 2;IM-222-622222010-Mathematik 2;27 8:30-10:30;9;099
;4;IM-222-622223060-Verkehrsinfrastruktur 2;IM-222-622222020-Baustoffe u. Geotechnik 2;30 8:30-10:00;4;028
;5;IM-222-622223060-Verkehrsinfrastruktur 2;IM-222-622222050-Projektmanagement und -entwicklung 1;28 17:00-18:30;1;067
;6;IM-222-622223060-Verkehrsinfrastruktur 2;IM-222-622223010-Nachhaltigkeit, Umwelt, Verantwortung;05 8:30-9:30;18;112
;7;IM-222-622223060-Verkehrsinfrastruktur 2;IM-222-622223020-Energie 2 - Netzgebundene Energien;03 11:00-13:00;20;067
;8;IM-222-622223060-Verkehrsinfrastruktur 2;IM-222-622223030-Informations- und Kommunikationstechnik;Kein Datum gef;20;
;9;IM-222-622223060-Verkehrsinfrastruktur 2;IM-222-622223040-Recht 1;28 14:00-15:30;19;070
;10;IM-222-622223060-Verkehrsinfrastruktur 2;IM-222-622223050-Wasserfachliche Grundlagen;29 11:30-12:30;19;049
;11;IM-222-622223060-Verkehrsinfrastruktur 2;IM-222-622223070-Projektmanagement und -entwicklung 2;01 9:00-11:00;18;017
;12;IM-222-622223060-Verkehrsinfrastruktur 2;IM-222-622223080-Wirtschaftslehre 2;25 14:00-15:00;20;143
;13;IM-222-622223060-Verkehrsinfrastruktur 2;IM-222-622223092-Wirtschaftsenglisch;Kein Datum gef;19;
;14;IM-222-622223060-Verkehrsinfrastruktur 2;IM-222-622224010-Arbeitsschutz;06 8:30-9:30;19;136
;15;IM-222-622223060-Verkehrsinfrastruktur 2;IM-222-622225020-Projektmanagement und -entwicklung 3;06 14:00-15:30;2;142
;16;IM-222-622223060-Verkehrsinfrastruktur 2;IM-222-622225040-Wirtschaftslehre 3;30 11:00-12:00;3;026
IM-222-622223070-Projektmanagement und -entwicklung 2;;;;01 9:00-11:00;;;
;1;IM-222-622223070-Projektmanagement und -entwicklung 2;IM-222-18100-Brandschutz Projektmanagement;28 11:30-12:30;2;092
;2;IM-222-622223070-Projektmanagement und -entwicklung 2;IM-222-19130-Internationaler ÖPNV;06 11:30-12:15;1;120
;3;IM-222-622223070-Projektmanagement und -entwicklung 2;IM-222-19140-Innovative Verfahren im Straßenbau;25 14:00-15:00;1;162
;4;IM-222-622223070-Projektmanagement und -entwicklung 2;IM-222-19170-Laborpraktikum im Straßenbauwesen;01 14:00-15:00;1;003
;5;IM-222-622223070-Projektmanagement und -entwicklung 2;IM-222-19290-International Relations;Kein Datum gef;1;
;6;IM-222-622223070-Projektmanagement und -entwicklung 2;IM-222-19300-Community Development Service Learning;Kein Datum gef;1;
;7;IM-222-622223070-Projektmanagement und -entwicklung 2;IM-222-622221040-Physik für Ingenieure;07 11:30-13:00;1;144
;8;IM-222-622223070-Projektmanagement und -entwicklung 2;IM-222-622221050-Wirtschaftslehre 1;05 14:00-16:00;1;099
;9;IM-222-622223070-Projektmanagement und -entwicklung 2;IM-222-622222010-Mathematik 2;27 8:30-10:30;7;118
;10;IM-222-622223070-Projektmanagement und -entwicklung 2;IM-222-622222020-Baustoffe u. Geotechnik 2;30 8:30-10:00;4;047
;11;IM-222-622223070-Projektmanagement und -entwicklung 2;IM-222-622222050-Projektmanagement und -entwicklung 1;28 17:00-18:30;1;086
;12;IM-222-622223070-Projektmanagement und -entwicklung 2;IM-222-622223010-Nachhaltigkeit, Umwelt, Verantwortung;05 8:30-9:30;16;093
;13;IM-222-622223070-Projektmanagement und -entwicklung 2;IM-222-622223020-Energie 2 - Netzgebundene Energien;03 11:00-13:00;19;048
