Fach 1;Lfd. Nr.;Fach 1;Fach 2;Datum / Uhrzeit;Kollisionen;Abstand
;8;Arbeitsschutz.--.622224010.--.222.--.IM;Physik für Ingenieure.--.622221040.--.222.--.IM;07 11:30-13:00;2;026
;9;Arbeitsschutz.--.622224010.--.222.--.IM;Projektmanagement und -entwicklung 1.--.622222050.--.222.--.IM;28 17:00-18:30;2;206
;10;Arbeitsschutz.--.622224010.--.222.--.IM;Projektmanagement und -entwicklung 2.--.622223070.--.222.--.IM;01 9:00-11:00;18;117
;11;Arbeitsschutz.--.622224010.--.222.--.IM;Projektmanagement und -entwicklung 3.--.622225020.--.222.--.IM;06 14:00-15:30;1;004
;12;Arbeitsschutz.--.622224010.--.222.--.IM;Recht 1.--.622223040.--.222.--.IM;28 14:00-15:30;20;209
;13;Arbeitsschutz.--.622224010.--.222.--.IM;Recht 2.--.622227020.--.222.--.IM;05 11:30-13:00;1;019
;14;Arbeitsschutz.--.622224010.--.222.--.IM;Verkehrsinfrastruktur 2.--.622223060.--.222.--.IM;31 14:00-16:00;19;136
;15;Arbeitsschutz.--.622224010.--.222.--.IM;Verkehrsinfrastruktur 3.--.622226030.--.222.--.IM;04 11:00-13:00;1;043
;16;Arbeitsschutz.--.622224010.--.222.--.IM;Wasserfachliche Grundlagen.--.622223050.--.222.--.IM;29 11:30-12:30;19;188
;17;Arbeitsschutz.--.622224010.--.222.--.IM;Wirtschaftsenglisch.--.622223092.--.222.--.IM;Kein Datum gef;20;
;18;Arbeitsschutz.--.622224010.--.222.--.IM;Wirtschaftslehre 1.--.622221050.--.222.--.IM;05 14:00-16:00;3;016
;19;Arbeitsschutz.--.622224010.--.222.--.IM;Wirtschaftslehre 2.--.622223080.--.222.--.IM;25 14:00-15:00;21;281
;20;Arbeitsschutz.--.622224010.--.222.--.IM;Wirtschaftslehre 3.--.622225040.--.222.--.IM;30 11:00-12:00;2;164
;21;Arbeitsschutz.--.622224010.--.222.--.IM;Wirtschaftslehre 5.--.622227010.--.222.--.IM;Kein Datum gef;1;
Arbeitsschutz.--.642014060.--.201.--.WBI;;;;06 8:30-9:30;;;
;1;Arbeitsschutz.--.642014060.--.201.--.WBI;Architektur und Städtebau.--.642013010.--.201.--.WBI;07 11:00-11:45;2;025
;2;Arbeitsschutz.--.642014060.--.201.--.WBI;Baukonstruktion und Brandschutz.--.642013020.--.201.--.WBI;28 11:30-12:30;3;212
;3;Arbeitsschutz.--.642014060.--.201.--.WBI;Baumanagement II.--.642013040.--.201.--.WBI;05 11:00-13:00;2;019
;4;Arbeitsschutz.--.642014060.--.201.--.WBI;Baumanagement III.--.642014030.--.201.--.WBI;25 9:30-11:30;10;285
;5;Arbeitsschutz.--.642014060.--.201.--.WBI;Baustatik.--.642013030.--.201.--.WBI;04 11:30-13:00;3;043
;6;Arbeitsschutz.--.642014060.--.201.--.WBI;Bilanzierung und Steuerlehre.--.642013050.--.201.--.WBI;30 14:00-16:00;1;160
;7;Arbeitsschutz.--.642014060.--.201.--.WBI;Immobilenwirtschaft I.--.642013060.--.201.--.WBI;01 9:00-10:30;3;118
;8;Arbeitsschutz.--.642014060.--.201.--.WBI;Investition und Finanzierung.--.642014040.--.201.--.WBI;29 11:00-13:00;9;187
;9;Arbeitsschutz.--.642014060.--.201.--.WBI;Konstruktiver Ingenieurbau.--.642014010.--.201.--.WBI;31 8:30-10:00;10;142
;10;Arbeitsschutz.--.642014060.--.201.--.WBI;Schlüsselfertigbau.--.642014050.--.201.--.WBI;03 8:30-9:30;11;071
;11;Arbeitsschutz.--.642014060.--.201.--.WBI;Wärmeschutz und Energietechnik I.--.642014020.--.201.--.WBI;04 8:30-10:30;10;046
Architektur und Städtebau.--.642013010.--.201.--.WBI;;;;07 11:00-11:45;;;
;1;Architektur und Städtebau.--.642013010.--.201.--.WBI;Arbeitsschutz.--.642014060.--.201.--.WBI;06 8:30-9:30;2;025
;2;Architektur und Städtebau.--.642013010.--.201.--.WBI;Baukonstruktion und Brandschutz.--.642013020.--.201.--.WBI;28 11:30-12:30;24;238
;3;Architektur und Städtebau.--.642013010.--.201.--.WBI;Baumanagement 1.--.642012040.--.201.--.WBI;03 14:00-16:30;7;090
;4;Architektur und Städtebau.--.642013010.--.201.--.WBI;Baumanagement II.--.642013040.--.201.--.WBI;05 11:00-13:00;23;046
;5;Architektur und Städtebau.--.642013010.--.201.--.WBI;Baustatik.--.642013030.--.201.--.WBI;04 11:30-13:00;24;070
;6;Architektur und Städtebau.--.642013010.--.201.--.WBI;Betriebswirtschaft.--.642011050.--.201.--.WBI;06 11:00-13:00;1;022
;7;Architektur und Städtebau.--.642013010.--.201.--.WBI;Bilanzierung und Steuerlehre.--.642013050.--.201.--.WBI;30 14:00-16:00;18;187
;8;Architektur und Städtebau.--.642013010.--.201.--.WBI;Immobilenwirtschaft I.--.642013060.--.201.--.WBI;01 9:00-10:30;22;144
;9;Architektur und Städtebau.--.642013010.--.201.--.WBI;Investition und Finanzierung.--.642014040.--.201.--.WBI;29 11:00-13:00;1;214
;10;Architektur und Städtebau.--.642013010.--.201.--.WBI;Rechnungswesen.--.642012050.--.201.--.WBI;28 17:00-19:00;2;232
;11;Architektur und Städtebau.--.642013010.--.201.--.WBI;Schlüsselfertigbau.--.642014050.--.201.--.WBI;03 8:30-9:30;1;097
Ausgleichungsrechnung und Statistik.--.3010.--.182.--.VB;;;;28 11:00-13:00;;;
;1;Ausgleichungsrechnung und Statistik.--.3010.--.182.--.VB;Geodaten.--.3040.--.182.--.VB;Kein Datum gef;33;
;2;Ausgleichungsrechnung und Statistik.--.3010.--.182.--.VB;Geodätische Mess- und Auswertetechnik (Polarverfahren).--.1020.--.182.--.VB;28 14:00-16:00;1;001
;3;Ausgleichungsrechnung und Statistik.--.3010.--.182.--.VB;Ingenieurbau und Ingenieurvermessung.--.3020.--.182.--.VB;29 17:00-18:30;34;028
;4;Ausgleichungsrechnung und Statistik.--.3010.--.182.--.VB;Mathematik 2.--.2010.--.182.--.VB;27 8:30-10:30;2;024
;5;Ausgleichungsrechnung und Statistik.--.3010.--.182.--.VB;Nahbereichsvermessung.--.4020.--.182.--.VB;05 14:00-15:30;1;193
;6;Ausgleichungsrechnung und Statistik.--.3010.--.182.--.VB;Physik.--.2020.--.182.--.VB;07 9:00-10:30;2;236
;7;Ausgleichungsrechnung und Statistik.--.3010.--.182.--.VB;Räumliche Datenbanken und Datenmodellierung.--.3030.--.182.--.VB;03 11:30-13:00;34;142
;8;Ausgleichungsrechnung und Statistik.--.3010.--.182.--.VB;Satellitengestütze Postitionsbestimmung.--.2040.--.182.--.VB;29 9:00-10:00;1;020
Automatisierung von Geschäftsprozessen.--.932112030.--.211.--.DPT;;;;06 8:30-10:00;;;
;1;Automatisierung von Geschäftsprozessen.--.932112030.--.211.--.DPT;Digitalisierung in der Produktion.--.932112020.--.211.--.DPT;29 14:00-15:30;11;185
;2;Automatisierung von Geschäftsprozessen.--.932112030.--.211.--.DPT;Green IT.--.18230.--.211.--.DPT;30 8:30-10:00;4;166
;3;Automatisierung von Geschäftsprozessen.--.932112030.--.211.--.DPT;IT-Infrastrukturmanagement.--.17140.--.211.--.DPT;27 11:30-13:00;3;235
;4;Automatisierung von Geschäftsprozessen.--.932112030.--.211.--.DPT;Moderne Software-Architekturen.--.932112040.--.211.--.DPT;31 14:00-16:00;11;136
Automatisierung von Geschäftsprozessen.--.932112030.--.2112.--.DPT;;;;06 8:30-10:00;;;
;1;Automatisierung von Geschäftsprozessen.--.932112030.--.2112.--.DPT;Digitalisierung in der Produktion.--.932112020.--.2112.--.DPT;29 14:00-15:30;1;185
;2;Automatisierung von Geschäftsprozessen.--.932112030.--.2112.--.DPT;Green IT.--.18230.--.2112.--.DPT;30 8:30-10:00;1;166
;3;Automatisierung von Geschäftsprozessen.--.932112030.--.2112.--.DPT;Moderne Software-Architekturen.--.932112040.--.2112.--.DPT;31 14:00-16:00;5;136
;4;Automatisierung von Geschäftsprozessen.--.932112030.--.2112.--.DPT;Software Engineering II.--.932111030.--.2112.--.DPT;03 8:30-10:30;1;070
;5;Automatisierung von Geschäftsprozessen.--.932112030.--.2112.--.DPT;Wahlpflichtmodul Informatik.--.1065.--.2112.--.DPT;Kein Datum gef;1;
;6;Automatisierung von Geschäftsprozessen.--.932112030.--.2112.--.DPT;Wahlpflichtmodul Wirtschaftsinformatik.--.1075.--.2112.--.DPT;Kein Datum gef;1;
BP Beschaffung und Logistik.--.19279114.--.1927.--.BW;;;;25 11:00-13:00;;;
Bachelor - Thesis.--.8999.--.182.--.PB;;;;Kein Datum gef;;;
;1;Bachelor - Thesis.--.8999.--.182.--.PB;Körperschall (innovativer Lärmschutz).--.17100.--.182.--.PB;28 8:30-10:00;2;
;2;Bachelor - Thesis.--.8999.--.182.--.PB;Theoretische Bauphysik Schall.--.7010.--.182.--.PB;04 14:00-16:00;2;
Bahntechnik.--.17260.--.162.--.VIS;;;;31 14:00-15:00;;;
;1;Bahntechnik.--.17260.--.162.--.VIS;Betrieb von Straßen.--.1020.--.162.--.VIS;05 9:00-12:00;1;114
